,DIA,HORA,ALT (m)
1045,15,05:11,1.2
1046,15,10:28,0.5
1047,15,17:17,1.1
1048,15,22:06,0.4
1049,15,05:54,1.1
1050,16,10:19,0.6
1051,16,22:30,0.4
1052,17,06:38,0.0
1053,17,13:15,0.8
1054,17,18:19,0.9
1055,17,23:00,0.5
1056,17,01:23,0.6
1057,18,03:06,0.6
1058,18,07:43,0.8
1059,18,13:17,0.9
1060,18,16:19,0.8
1061,18,19:08,0.8
1062,19,00:56,0.6
1063,19,04:39,0.5
1064,19,13:15,0.9
1065,19,17:39,0.7
1066,19,20:58,0.8
1067,19,05:45,0.4
1068,20,13:15,1.0
1069,20,18:26,0.6
1070,21,00:11,0.9
1071,21,06:32,0.3
1072,21,13:24,1.1
1073,21,19:04,0.5
1074,21,00:43,1.0
1075,22,07:09,0.2
1076,22,13:41,1.2
1077,22,19:36,0.4
1078,23,01:11,1.2
1079,23,07:47,0.1
1080,23,14:00,1.3
1081,23,20:06,0.3
1082,23,01:43,1.3
1083,24,08:19,0.0
1084,24,14:23,1.3
1085,24,20:36,0.3
1086,25,02:11,1.3
1087,25,08:54,0.0
1088,25,14:51,1.3
1089,25,21:04,0.2
1090,25,02:45,1.4
1091,26,09:28,0.0
1092,26,15:13,1.3
1093,26,21:36,0.2
1094,27,03:13,1.4
1095,27,10:02,0.1
1096,27,15:41,1.3
1097,27,22:06,0.2
1098,27,03:49,1.4
1099,28,10:43,0.2
1100,28,16:06,1.2
1101,28,22:41,0.3
1102,29,04:21,1.3
1103,29,11:32,0.4
1104,29,16:36,1.1
1105,29,23:26,0.3
1106,29,05:00,1.2
1107,30,12:38,0.5
1108,01,00:36,0.4
1109,01,10:47,0.8
1110,01,17:41,0.9
1111,01,22:11,0.5
1112,01,23:04,0.5
1113,01,02:00,0.4
1114,02,06:39,1.0
1115,02,09:24,0.8
1116,02,15:23,0.7
1117,02,18:19,0.8
1118,02,22:06,0.6
1119,03,03:24,0.4
1120,03,12:39,1.1
1121,03,16:53,0.7
1122,03,19:32,0.8
1123,03,22:08,0.7
1124,03,00:24,0.7
1125,04,04:45,0.3
1126,04,13:09,1.2
1127,04,17:58,0.6
1128,05,00:41,0.9
1129,05,05:51,0.2
1130,05,13:39,1.2
1131,05,18:49,0.5
1132,05,00:43,1.0
1133,06,06:47,0.1
1134,06,13:53,1.2
1135,06,19:28,0.4
1136,07,00:54,1.1
1137,07,07:34,0.0
1138,07,13:53,1.3
1139,07,20:06,0.3
1140,07,01:21,1.3
1141,08,08:15,0.0
1142,08,14:02,1.3
1143,08,20:41,0.3
1144,09,01:54,1.4
1145,09,08:58,0.0
